,지점,일시,풍속(m/s),풍향(deg),기온(°C),수온(°C),강수량(mm),적조발생(실측),적조발생(조건)
70,추자도,2021-09-04 6:00,9,95,24.8,27.1,0,0,0
71,추자도,2021-09-04 7:00,8.2,95,25,27.1,0,0,0
72,추자도,2021-09-04 8:00,8.4,96,25,27.1,0,0,0
73,추자도,2021-09-04 9:00,8.5,89,25.2,27.1,0,0,0
74,추자도,2021-09-04 10:00,8.9,96,25,27.1,0,0,0
75,추자도,2021-09-04 11:00,8.8,94,25,27.1,0,0,0
76,추자도,2021-09-04 12:00,8.7,98,25.1,27.2,0,0,0
77,추자도,2021-09-04 13:00,9.6,99,25.2,27.2,0,0,0
78,추자도,2021-09-04 14:00,9.5,95,25.3,27.2,0,0,0
79,추자도,2021-09-04 15:00,9.5,95,25.7,27.2,0,0,0
80,추자도,2021-09-04 16:00,10.1,93,25.6,27.2,0,0,0
81,추자도,2021-09-04 17:00,10.2,94,25.8,27.2,0,0,0
82,추자도,2021-09-04 18:00,9.8,98,25.7,27.2,0,0,0
83,추자도,2021-09-04 19:00,9.9,94,25.9,27.2,0,0,0
84,추자도,2021-09-04 20:00,11.1,93,25.7,27.2,0,0,0
85,추자도,2021-09-04 21:00,10.9,104,25.8,27.2,0,0,0
86,추자도,2021-09-04 22:00,11.2,101,26,27.2,0,0,0
87,추자도,2021-09-04 23:00,11.2,100,26,27.2,0,0,0
88,추자도,2021-09-05 0:00,10.7,99,25.9,27.1,0,0,0
89,추자도,2021-09-05 1:00,10.8,107,25.9,27,0,0,0
90,추자도,2021-09-05 2:00,11,100,25.6,27,0,0,0
91,추자도,2021-09-05 3:00,11.1,102,25.6,27,0,0,0
92,추자도,2021-09-05 4:00,11.2,104,25.7,27,0,0,0
93,추자도,2021-09-05 5:00,11,109,25.8,26.9,0,0,0
94,추자도,2021-09-05 6:00,11,100,25.7,26.9,0,0,0
95,추자도,2021-09-05 7:00,11.3,99,25.6,26.9,0,0,0
96,추자도,2021-09-05 8:00,11.3,103,25.5,26.9,0,0,0
97,추자도,2021-09-05 9:00,12.3,99,25.3,26.8,0,0,0
98,추자도,2021-09-05 10:00,12.3,93,25.3,26.8,0,0,0
99,추자도,2021-09-05 11:00,12.5,93,25.3,26.8,0,0,0
100,추자도,2021-09-05 12:00,12.2,94,25.2,26.8,0,0,0
101,추자도,2021-09-05 13:00,11,98,24.5,26.8,0.5,0,0
102,추자도,2021-09-05 14:00,12.3,96,24.7,26.7,2.5,0,0
103,추자도,2021-09-05 15:00,12.3,98,25,26.7,0,0,0
104,추자도,2021-09-05 16:00,12,105,25,26.7,0,0,0
105,추자도,2021-09-05 17:00,12,108,25.2,26.7,0,0,0
106,추자도,2021-09-05 18:00,12.9,103,25.2,26.6,0,0,0
107,추자도,2021-09-05 19:00,13.4,108,25.4,26.6,0,0,0
108,추자도,2021-09-05 20:00,13.6,99,25.4,26.5,0,0,0
109,추자도,2021-09-05 21:00,14.1,96,25.2,26.5,0,0,0
110,추자도,2021-09-05 22:00,14.1,102,25.1,26.5,0,0,0
111,추자도,2021-09-05 23:00,13.4,103,25.3,26.5,0,0,0
112,추자도,2021-09-06 0:00,13.4,104,25.4,26.5,0,0,0
113,추자도,2021-09-06 1:00,13.6,105,25.7,26.4,0,0,0
114,추자도,2021-09-06 2:00,12.8,103,25.6,26.4,0,0,0
115,추자도,2021-09-06 3:00,13.5,103,25.5,26.2,0,0,0
116,추자도,2021-09-06 4:00,13.2,101,25.1,26.2,0,0,0
117,추자도,2021-09-06 5:00,13,104,25.1,26.2,0,0,0
118,추자도,2021-09-06 6:00,13.3,103,24.9,26.2,0,0,0
119,추자도,2021-09-06 7:00,12.6,99,24.8,26.1,0,0,0
120,추자도,2021-09-06 8:00,12,101,24.9,26.1,0,0,0
121,추자도,2021-09-06 9:00,12.4,100,25,26,0,0,0
122,추자도,2021-09-06 10:00,12.9,101,25,25.8,0,0,0
123,추자도,2021-09-06 11:00,12.9,101,25,25.6,0,0,0
124,추자도,2021-09-06 12:00,13,100,25.1,25.6,0,0,0
125,추자도,2021-09-06 13:00,13.5,98,24.8,25.4,0,0,0
126,추자도,2021-09-06 14:00,11.8,97,24.7,25.4,0,0,0
127,추자도,2021-09-06 15:00,11.8,103,25.1,25.3,0,0,0
128,추자도,2021-09-06 16:00,11.2,98,25.1,25.2,0,0,0
129,추자도,2021-09-06 17:00,12.1,102,25.1,25.2,0,0,0
130,추자도,2021-09-06 18:00,12.3,108,25.2,25.2,0,0,0
131,추자도,2021-09-06 19:00,12.1,109,25.2,25.2,0,0,0
132,추자도,2021-09-06 20:00,11.4,110,25.1,25.3,0,0,0
133,추자도,2021-09-06 21:00,11.5,109,25.5,25.5,0,0,0
134,추자도,2021-09-06 22:00,11.1,111,25.7,25.5,0,0,0
135,추자도,2021-09-06 23:00,12.4,107,25.6,25.6,0,0,0
136,추자도,2021-09-07 0:00,11.2,107,25.4,25.7,0,0,0
137,추자도,2021-09-07 1:00,10.9,112,25.4,25.8,0,0,0
138,추자도,2021-09-07 2:00,9.9,111,25.7,25.8,0,0,0
139,추자도,2021-09-07 3:00,9.4,112,25.8,25.8,0,0,0
140,추자도,2021-09-07 4:00,9.1,116,26,25.8,0,0,0
141,추자도,2021-09-07 5:00,6.9,113,26.1,25.8,0,0,0
142,추자도,2021-09-07 6:00,5.8,120,25.8,26,0,0,0
143,추자도,2021-09-07 7:00,3.5,115,25.8,26,0.5,0,0
144,추자도,2021-09-07 8:00,5,297,26,26.1,2,0,0
145,추자도,2021-09-07 9:00,3.5,289,25.9,26.1,0,0,0
146,추자도,2021-09-07 10:00,3.4,280,26.1,26.1,0,0,0
147,추자도,2021-09-07 11:00,4.5,251,26.4,26.2,0,0,0
148,추자도,2021-09-07 13:00,5.6,260,26.3,26.1,0,0,0
149,추자도,2021-09-07 14:00,7.3,285,26.1,26.1,0,0,0
150,추자도,2021-09-07 15:00,7.6,296,25.9,26,0,0,0
151,추자도,2021-09-07 16:00,7.7,306,25.3,25.9,0,0,0
152,추자도,2021-09-07 17:00,8,318,24.9,25.8,0,0,0
153,추자도,2021-09-07 18:00,7.4,325,24.7,25.7,0,0,0
154,추자도,2021-09-07 19:00,6.7,321,24.6,25.7,0,0,0
155,추자도,2021-09-07 20:00,6.6,326,24.5,25.6,0,0,0
156,추자도,2021-09-07 21:00,6.6,324,24.3,25.6,0,0,0
157,추자도,2021-09-07 22:00,5.4,322,24.1,25.6,0,0,0
158,추자도,2021-09-07 23:00,5.8,330,24,25.5,0,0,0
159,추자도,2021-09-08 0:00,5.4,316,24.1,25.3,0,0,0
160,추자도,2021-09-08 1:00,6,320,24.1,25.4,0,0,0
161,추자도,2021-09-08 2:00,5.4,323,24,25.7,0,0,0
162,추자도,2021-09-08 3:00,6.8,317,24,25.8,0,0,0
163,추자도,2021-09-08 4:00,6.8,311,23.9,26,0,0,0
164,추자도,2021-09-08 5:00,6.8,317,23.9,26.1,0,0,0
165,추자도,2021-09-08 6:00,7.1,330,24,26.1,0,0,0
166,추자도,2021-09-08 7:00,8.5,339,24,26.1,0,0,0
167,추자도,2021-09-08 8:00,8,336,24,26,0,0,0
168,추자도,2021-09-08 9:00,7.6,342,23.9,25.9,0,0,0
169,추자도,2021-09-08 10:00,7.5,345,23.8,25.9,0,0,0
170,추자도,2021-09-08 11:00,6.7,344,24,25.9,0,0,0
171,추자도,2021-09-08 12:00,5.8,333,24.1,25.8,0,0,0
172,추자도,2021-09-08 13:00,4.9,336,23.9,25.9,0,0,0
173,추자도,2021-09-08 14:00,5.7,340,24.2,26,0,0,0
174,추자도,2021-09-08 15:00,5.8,340,24.3,26.1,0,0,0
175,추자도,2021-09-08 16:00,6,350,24.3,26.1,0,0,0
176,추자도,2021-09-08 17:00,6.6,345,24.3,26,0,0,0
177,추자도,2021-09-08 18:00,6.9,346,24.2,26,0,0,0
178,추자도,2021-09-08 19:00,5.9,342,24.1,26.3,0,0,0
179,추자도,2021-09-08 21:00,5.1,357,23.8,26.2,0,0,0
180,추자도,2021-09-08 22:00,4.9,5,23.8,26.2,0,0,0
181,추자도,2021-09-08 23:00,4.3,351,23.5,26.2,0,0,0
182,추자도,2021-09-09 0:00,3.6,359,23.2,26.2,0,0,0
183,추자도,2021-09-09 1:00,2.6,3,23.1,26.3,0,0,0
184,추자도,2021-09-09 2:00,2.6,27,23.1,26.3,0,0,0
185,추자도,2021-09-09 3:00,2.9,15,23.1,26.2,0,0,0
186,추자도,2021-09-09 4:00,2.4,21,23.2,26.2,0,0,0
187,추자도,2021-09-09 5:00,1.7,41,23.1,26.2,0,0,0
188,추자도,2021-09-09 6:00,2,24,23.1,26.2,0,0,0
189,추자도,2021-09-09 7:00,2.8,32,23.2,26.2,0,0,0
190,추자도,2021-09-09 8:00,2.7,75,23.4,26.1,0,0,0
191,추자도,2021-09-09 9:00,1.9,65,23.6,26.2,0,0,0
192,추자도,2021-09-09 10:00,0.6,52,24,26.2,0,0,0
193,추자도,2021-09-09 11:00,1.5,70,24.5,26.4,0,0,0
194,추자도,2021-09-09 12:00,1.1,95,24.5,26.7,0,0,0
195,추자도,2021-09-09 13:00,2.1,89,24.8,27,0,0,0
196,추자도,2021-09-09 15:00,1.5,128,25,27.1,0,0,0
197,추자도,2021-09-09 16:00,2.1,93,25.2,26.9,0,0,0
198,추자도,2021-09-09 17:00,1,148,25.5,26.7,0,0,0
199,추자도,2021-09-09 18:00,2.7,103,25.5,26.8,0,0,0
200,추자도,2021-09-09 19:00,2.2,118,25.5,26.8,0,0,0
201,추자도,2021-09-09 20:00,1.3,238,25.4,26.7,0,0,0
202,추자도,2021-09-09 21:00,2.5,213,25.2,26.7,0,0,1
203,추자도,2021-09-09 22:00,2.4,248,25.2,26.7,0,0,1
204,추자도,2021-09-09 23:00,1.4,216,25.4,26.7,0,0,0
205,추자도,2021-09-10 0:00,1.6,188,25.6,26.6,0,0,0
206,추자도,2021-09-10 1:00,3.5,178,25.9,26.5,0,0,0
207,추자도,2021-09-10 2:00,3.7,167,25.5,26.4,0,0,0
208,추자도,2021-09-10 3:00,4.4,160,25.3,26.2,0,0,0
209,추자도,2021-09-10 4:00,4.4,199,24.4,26.2,0,0,0
210,추자도,2021-09-10 5:00,3.1,131,23.8,26.2,0.5,0,0
211,추자도,2021-09-10 6:00,2.8,115,22.9,26.2,1,0,0
212,추자도,2021-09-10 7:00,6.1,81,23.3,26.2,0,0,0
213,추자도,2021-09-10 8:00,5,98,23.9,26.2,0,0,0
214,추자도,2021-09-10 9:00,4.1,93,23.7,26.2,1,0,0
215,추자도,2021-09-10 10:00,7.2,354,23.5,26.3,4,0,0
216,추자도,2021-09-10 11:00,6.7,115,24.1,26.3,5.5,0,0
217,추자도,2021-09-10 12:00,7.4,168,24.3,26.2,0,0,0
218,추자도,2021-09-10 13:00,6.7,217,24.4,26.2,0,0,0
219,추자도,2021-09-10 14:00,7.8,219,24.7,26.2,0,0,0
220,추자도,2021-09-10 15:00,6.3,221,24.8,26.2,0,0,0
221,추자도,2021-09-10 16:00,5.6,229,24.9,26.1,0,0,0
222,추자도,2021-09-10 17:00,4.1,226,25,26.1,0,0,1
223,추자도,2021-09-10 18:00,4.4,220,25.1,26.2,0,0,1
224,추자도,2021-09-10 19:00,3.3,229,25.2,26.4,0,0,1
225,추자도,2021-09-10 20:00,1.4,255,25.3,26.2,0,0,0
226,추자도,2021-09-10 21:00,1,230,25.3,26.2,0,0,0
227,추자도,2021-09-10 22:00,0.6,210,25.1,26.2,0,0,0
228,추자도,2021-09-10 23:00,0,128,24.9,26.2,0,0,0
229,추자도,2021-09-11 0:00,2.6,75,24.7,26.2,0,0,0
230,추자도,2021-09-11 1:00,2.8,99,24.6,26.3,0,0,0
231,추자도,2021-09-11 2:00,3.6,110,24.5,26.2,0,0,0
232,추자도,2021-09-11 3:00,3.5,87,24.7,26.2,0,0,0
233,추자도,2021-09-11 4:00,3.8,92,24.7,26.2,0,0,0
234,추자도,2021-09-11 5:00,3.7,80,24.6,26.2,0,0,0
235,추자도,2021-09-11 6:00,3.9,79,24.5,26.1,0,0,0
236,추자도,2021-09-11 7:00,4.4,59,24.6,25.9,0,0,0
237,추자도,2021-09-11 8:00,4.1,70,24.4,26.2,0,0,0
238,추자도,2021-09-11 9:00,4.4,82,24.5,26.1,0,0,0
239,추자도,2021-09-11 10:00,3.9,91,24.9,26.2,0,0,0
240,추자도,2021-09-11 11:00,3.7,116,25.2,26.2,0,0,0
241,추자도,2021-09-11 12:00,3.2,114,25.3,26.3,0,0,0
242,추자도,2021-09-11 13:00,2.9,88,25.3,26.4,0,0,0
243,추자도,2021-09-11 14:00,4.4,64,25.5,26.3,0,0,0
244,추자도,2021-09-11 15:00,5.1,47,25.4,26.3,0,0,0
245,추자도,2021-09-11 16:00,4.7,61,25.1,26.3,0,0,0
246,추자도,2021-09-11 17:00,4.8,92,25.5,26.3,0,0,0
247,추자도,2021-09-11 18:00,5.2,105,25.4,26.2,0,0,0
248,추자도,2021-09-11 19:00,5.1,99,25.5,26.1,0,0,0
249,추자도,2021-09-11 20:00,4.9,90,25.4,26.2,0,0,0
250,추자도,2021-09-11 21:00,3.9,80,25.4,26.1,0,0,0
251,추자도,2021-09-11 22:00,4,67,25.7,25.9,0,0,0
252,추자도,2021-09-11 23:00,4.9,52,24.9,26.4,0,0,0
253,추자도,2021-09-12 0:00,5,50,25,26.4,0,0,0
254,추자도,2021-09-12 1:00,5.5,49,24.8,26.4,0,0,0
255,추자도,2021-09-12 2:00,4.9,47,24.7,26.3,0,0,0
256,추자도,2021-09-12 3:00,5.3,57,24.4,26.1,0,0,0
257,추자도,2021-09-12 4:00,5.5,67,24.1,25.9,0,0,0
258,추자도,2021-09-12 5:00,5.3,59,24.2,25.8,0,0,0
259,추자도,2021-09-12 6:00,5.2,74,24.4,25.7,0,0,0
260,추자도,2021-09-12 7:00,5.8,66,24.5,26.3,0,0,0
261,추자도,2021-09-12 8:00,5.7,76,24.3,26.2,0,0,0
262,추자도,2021-09-12 9:00,6.2,54,24.5,26.2,0,0,0
263,추자도,2021-09-12 10:00,6.7,47,24.3,26.3,0,0,0
264,추자도,2021-09-12 11:00,6.2,47,24.6,26.3,0,0,0
265,추자도,2021-09-12 12:00,5.7,59,24.7,26.4,0,0,0
266,추자도,2021-09-12 13:00,5.9,59,25,26.4,0,0,0
267,추자도,2021-09-12 14:00,5.5,71,25.3,26.4,0,0,0
268,추자도,2021-09-12 15:00,6,76,25.7,26.4,0,0,0
269,추자도,2021-09-12 16:00,6,93,25.8,26.4,0,0,0
270,추자도,2021-09-12 17:00,6.1,94,25.8,26.4,0,0,0
271,추자도,2021-09-12 18:00,6.5,95,25.8,26.4,0,0,0
272,추자도,2021-09-12 19:00,6.6,88,25.7,26.4,0,0,0
273,추자도,2021-09-12 20:00,7.2,97,25.8,26.1,0,0,0
274,추자도,2021-09-12 21:00,7,94,25.9,26.2,0,0,0
275,추자도,2021-09-12 22:00,7.8,91,26,26.3,0,0,0
276,추자도,2021-09-12 23:00,8.5,87,25.9,26.3,0,0,0
277,추자도,2021-09-13 0:00,9.5,94,25.8,26.3,0,0,0
278,추자도,2021-09-13 1:00,10.4,89,25.8,26.3,0,0,0
279,추자도,2021-09-13 2:00,11.6,85,25.7,26.1,0,0,0
280,추자도,2021-09-13 3:00,12.1,92,25.7,25.6,0,0,0
281,추자도,2021-09-13 4:00,11.1,87,25.7,25.6,0,0,0
282,추자도,2021-09-13 5:00,10.8,83,25.8,25.6,0,0,0
283,추자도,2021-09-13 6:00,10.8,86,25.5,25.6,0,0,0
284,추자도,2021-09-13 7:00,11.3,92,25.5,25.5,0,0,0
285,추자도,2021-09-13 8:00,11.9,83,25.4,25.2,0.5,0,0
286,추자도,2021-09-13 9:00,10.2,91,25.2,25.4,0.5,0,0
287,추자도,2021-09-13 10:00,10.4,104,25.6,25.4,0.5,0,0
288,추자도,2021-09-13 11:00,11.2,100,25.1,25.9,0.5,0,0
289,추자도,2021-09-13 12:00,9.8,100,25.4,26,0,0,0
290,추자도,2021-09-13 13:00,11.7,105,24.8,26.1,1,0,0
291,추자도,2021-09-13 14:00,12.8,107,24.8,26,1.5,0,0
292,추자도,2021-09-13 15:00,13.1,103,24.7,26,2,0,0
293,추자도,2021-09-13 16:00,12.2,103,24.5,25.7,2,0,0
294,추자도,2021-09-13 17:00,13.6,98,24.4,25.6,1.5,0,0
295,추자도,2021-09-13 18:00,13,104,23.9,25.3,1,0,0
296,추자도,2021-09-13 19:00,12.7,105,24.2,25.3,4,0,0
297,추자도,2021-09-13 20:00,13.1,102,23.7,25.3,2.5,0,0
298,추자도,2021-09-13 21:00,13.5,104,23.9,25.2,5,0,0
299,추자도,2021-09-13 22:00,12.8,93,23.8,25.3,2.5,0,0
300,추자도,2021-09-13 23:00,14.7,103,24.1,25.1,1.5,0,0
301,추자도,2021-09-14 0:00,14.3,102,24.5,25.1,0.5,0,0
302,추자도,2021-09-14 2:00,15.4,106,24.1,25.2,0,0,0
303,추자도,2021-09-14 3:00,13.8,103,24.5,25.1,0,0,0
304,추자도,2021-09-14 4:00,14.6,88,24.7,25.2,0,0,0
305,추자도,2021-09-14 5:00,13.8,79,24.5,25.1,0,0,0
306,추자도,2021-09-14 6:00,13.7,73,24.7,25.1,0,0,0
307,추자도,2021-09-14 7:00,14.2,71,23.7,25.1,0,0,0
308,추자도,2021-09-14 8:00,15.3,75,23.4,25.1,5,0,0
309,추자도,2021-09-14 9:00,15.3,73,23.3,25.1,10,0,0
310,추자도,2021-09-14 10:00,15.1,70,23.6,25,3.5,0,0
311,추자도,2021-09-14 11:00,16.8,82,24,25.1,0,0,0
312,추자도,2021-09-14 12:00,16.2,73,24.2,25.2,0,0,0
313,추자도,2021-09-14 13:00,15.2,70,23.8,25.2,0,0,0
314,추자도,2021-09-14 14:00,14.2,77,23.9,25.2,0,0,0
315,추자도,2021-09-14 15:00,13.9,70,24.1,25.1,0.5,0,0
316,추자도,2021-09-14 16:00,15,68,24.2,25,0,0,0
317,추자도,2021-09-14 17:00,15,68,24.4,25,0,0,0
318,추자도,2021-09-14 18:00,15,70,24.1,25,0,0,0
319,추자도,2021-09-14 19:00,15,73,24.2,25.2,0,0,0
320,추자도,2021-09-14 20:00,16.1,75,24.3,25.3,0,0,0
321,추자도,2021-09-14 21:00,14.8,71,24.1,25.2,0,0,0
322,추자도,2021-09-14 22:00,15.4,71,23.9,25.1,0,0,0
323,추자도,2021-09-14 23:00,15.5,74,24,24.8,0,0,0
324,추자도,2021-09-15 0:00,15.1,74,24,24.7,0,0,0
325,추자도,2021-09-15 1:00,14.8,75,24,24.7,0,0,0
326,추자도,2021-09-15 2:00,16.1,77,24.2,24.7,0,0,0
327,추자도,2021-09-15 3:00,16.4,77,23.8,24.8,0,0,0
328,추자도,2021-09-15 4:00,15.7,75,23.8,25.3,0,0,0
329,추자도,2021-09-15 5:00,16,78,23.7,25.5,0,0,0
330,추자도,2021-09-15 6:00,16.6,78,23.7,25.5,0,0,0
331,추자도,2021-09-15 7:00,15.3,76,23.8,25.6,0.5,0,0
332,추자도,2021-09-15 8:00,16.5,76,23.8,25.6,0,0,0
333,추자도,2021-09-15 9:00,15.5,79,23.7,25.8,0,0,0
334,추자도,2021-09-15 10:00,15.3,79,23.9,25.5,0,0,0
335,추자도,2021-09-15 11:00,15.8,80,24.1,25.4,0,0,0
336,추자도,2021-09-15 12:00,15.3,84,24.1,25.5,0,0,0
337,추자도,2021-09-15 13:00,13.5,82,24.3,25.4,0,0,0
338,추자도,2021-09-15 14:00,15.8,86,24.6,25.3,0,0,0
339,추자도,2021-09-15 15:00,15,87,24.6,25.3,0,0,0
340,추자도,2021-09-15 16:00,13.9,85,24.6,25.6,0,0,0
341,추자도,2021-09-15 17:00,13.8,89,24.7,25.6,0,0,0
342,추자도,2021-09-15 18:00,14.7,90,24.6,25.6,0,0,0
343,추자도,2021-09-15 19:00,13,89,24.5,25.7,0,0,0
344,추자도,2021-09-15 20:00,16.1,89,24.5,25.7,0,0,0
345,추자도,2021-09-15 21:00,13.8,83,24.4,25.7,0,0,0
346,추자도,2021-09-15 22:00,15.7,88,24.6,25.6,0,0,0
347,추자도,2021-09-15 23:00,13.3,87,24.5,25.6,0,0,0
348,추자도,2021-09-16 0:00,13.4,87,24.4,25.5,0,0,0
349,추자도,2021-09-16 1:00,13,85,24.1,25.4,0,0,0
350,추자도,2021-09-16 2:00,13.3,83,23.9,25.2,0,0,0
351,추자도,2021-09-16 3:00,12.4,79,23.8,25.1,0,0,0
352,추자도,2021-09-16 4:00,12.5,80,23.8,25,0,0,0
353,추자도,2021-09-16 5:00,12,77,23.8,25,0,0,0
354,추자도,2021-09-16 6:00,13.1,81,23.6,25,0,0,0
355,추자도,2021-09-16 7:00,12.3,78,22.6,25,0,0,0
356,추자도,2021-09-16 8:00,13.2,77,23.4,25,0,0,0
357,추자도,2021-09-16 9:00,13.5,79,23.2,25,0,0,0
358,추자도,2021-09-16 10:00,14.3,75,23,24.9,0,0,0
359,추자도,2021-09-16 11:00,13.8,78,23.3,24.9,0,0,0
360,추자도,2021-09-16 12:00,14.5,79,23.6,24.9,0,0,0
361,추자도,2021-09-16 13:00,14.3,73,23.3,24.9,0,0,0
362,추자도,2021-09-16 14:00,15,73,23.2,24.9,1.5,0,0
363,추자도,2021-09-16 15:00,14.1,72,23.3,24.9,3.5,0,0
364,추자도,2021-09-16 16:00,14.4,74,22.9,25.1,1.5,0,0
365,추자도,2021-09-16 17:00,14.5,66,22.4,24.9,6.5,0,0
366,추자도,2021-09-16 18:00,15.2,64,22.9,24.8,2.5,0,0
367,추자도,2021-09-16 19:00,14,63,23.4,24.7,0,0,0
368,추자도,2021-09-16 20:00,14.8,67,23.1,23.9,0,0,0
369,추자도,2021-09-16 21:00,13.6,64,23,23.5,1,0,0
370,추자도,2021-09-16 22:00,14.8,63,22.5,23.9,3,0,0
371,추자도,2021-09-16 23:00,14.4,67,23.4,24,0.5,0,0
372,추자도,2021-09-17 0:00,14.4,66,23.8,24,0,0,0
373,추자도,2021-09-17 1:00,15.3,63,23.7,24.1,0,0,0
374,추자도,2021-09-17 2:00,16.1,61,23.6,23.9,0,0,0
375,추자도,2021-09-17 3:00,14.9,52,23.2,23.7,0,0,0
376,추자도,2021-09-17 4:00,15.4,51,23.2,23.5,0,0,0
377,추자도,2021-09-17 5:00,13.3,32,22.8,23.3,1.5,0,0
378,추자도,2021-09-17 6:00,13.8,29,23.1,23,1.5,0,0
379,추자도,2021-09-17 7:00,11.7,15,23.3,23.2,1.5,0,0
